priority_area	thematic_area	russian_level	russian_importance
darkgoldenrod1	Научно-методическая база исследований в области биотехнологий	2.459201482	2.926342855	био
darkgoldenrod1	Сельскохозяйственные биотехнологии	2.308412782	2.67100727	био
darkgoldenrod1	Промышленные биотехнологии	2.494696254	2.78656068	био
darkgoldenrod1	Экологические биотехнологии	2.633759195	2.438126588	био
darkgoldenrod1	Пищевые биотехнологии	2.738085497	2.734708952	био
darkgoldenrod1	Лесные биотехнологии	2.253625449	2.72991453	био
darkgoldenrod1	Аквабиокультура	2.469196119	2.506046431	био
deepskyblue1	Высокопроизводительные вычислительные архитектуры и системы	2.443855145	2.774907045	икт
deepskyblue1	Технологии и коммуникационные инфраструктуры высокоскоростной передачи данных	2.215234102	2.698113208	икт
deepskyblue1	Технологии анализа и обработки данных, искусственного интеллекта	2.559120009	2.806570021	икт
deepskyblue1	Технологии человеко-машинного взаимодействия, нейро- и когнитивные технологии	2.339388593	2.650919278	икт
deepskyblue1	Технологии создания интеллектуальных систем управления и умных инфраструктур, технологии межмашинного взаимодействия и Интернета вещей	2.269510582	2.723684211	икт
deepskyblue1	Технологии новой элементной базы, электронных устройств, квантовые технологии	2.018526989	3.110683353	икт
deepskyblue1	Технологии информационной безопасности	2.527495904	2.92251462	икт
firebrick1	Перспективные лекарственные кандидаты	2.659035258	2.986581353	медицина
firebrick1	Молекулярное профилирование и диагностика	2.699616631	2.622631678	медицина
firebrick1	Клеточные технологии и тканевая инженерия	2.70153936	2.707650364	медицина
firebrick1	Мониторинг и контроль функций органов и систем	2.557241671	2.7869377	медицина
firebrick1	Информационные технологии (био)медицинского назначения	2.888286713	2.635034965	медицина
firebrick1	Нейротехнологии	2.652173913	2.637681159	медицина
firebrick1	Синтетическая биология	2.372105263	2.644444444	медицина
mediumorchid1	Конструкционные материалы	2.584998348	2.780833667	нано
mediumorchid1	Функциональные материалы	2.522351392	2.72497807	нано
mediumorchid1	Гибридные материалы, конвергентные технологии, биомиметические материалы и материалы медицинского назначения	2.029324418	2.68522559	нано
mediumorchid1	 Компьютерное моделирование материалов и процессов	2.667111902	2.563802872	нано
mediumorchid1	Диагностика материалов	2.734805107	2.691951413	нано
mediumorchid4	Цифровые технологии и цифровое производство	2.660820858	2.88721448	ППТ
mediumorchid4	Технологии новых материалов	2.954807692	2.879094179	ППТ
mediumorchid4	Технологии организации и управления производством	2.379478107	2.856210884	ППТ
chartreuse3	Сохранение благоприятной окружающей среды и обеспечение экологической безопасности	2.339910949	2.484870272	рпп
chartreuse3	Мониторинг состояния окружающей среды, оценка и прогнозирование чрезвычайных ситуаций природного и техногенного характера	2.701193613	2.466414158	рпп
chartreuse3	Изучение недр, поиск, разведка и комплексное освоение минеральных и углеводородных ресурсов, а также техногенного сырья	2.713267395	2.483520429	рпп
chartreuse3	Изучение и освоение ресурсов Мирового океана, Арктики и Антарктики	2.711864407	2.816666667	рпп
chocolate1	Эффективная разведка и добыча ископаемых топлив	2.324546485	2.201814059	энергия 
chocolate1	Эффективная экологически чистая теплоэнергетика	2.70042735	2.841575092	энергия 
chocolate1	Эффективная безопасная атомная энергетика	3.612987013	2.91038961	энергия 
chocolate1	Эффективное использование возобновляемых видов энергии	2.330363248	1.631927476	энергия 
chocolate1	Перспективная биоэнергетика	2.40491453	1.907532051	энергия 
chocolate1	Глубокая переработка углеродосодержащего сырья	2.862767441	2.543460339	энергия 
chocolate1	Эффективное аккумулирование электрической и тепловой энергии	2.183671884	2.019208107	энергия 
chocolate1	Водородная энергетика	2.59843061	1.948737374	энергия 
chocolate1	Эффективная транспортировка горючего и энергии	2.688873626	2.232439129	энергия 
chocolate1	Интеллектуальные энергетические системы будущего	2.734793412	2.911073542	энергия 
chocolate1	Эффективное потребление энергии	2.55451929	2.617227019	энергия 
chocolate1	Моделирование перспективных энергетических технологий и систем	3.019230769	2.601139601	энергия 
chocolate1	Новые материалы и катализаторы для энергетики будущего	2.674887564	2.601620602	энергия 
darkseagreen4	Космические системы	2.685186298	2.358114968	космос
darkseagreen1	Транспортные системы	2.724771055	2.747370288	транспорт
